instance_id;module_id;action;replaces;variant;source_variable;args_json
assumption.china;assumption.china.wiodr13;add;;;;{}
assumption.row;assumption.row.standard;add;;standard;;"{""source"":""wiodr13""}"
matrix.capital;matrix.capital.wiodr13;add;;;;{}
indicator.emp.s.un;source_indicator;add;;;EMP;"{""indicator"":""emp.s.un""}"
indicator.empe.s.un;source_indicator;add;;;EMPE;"{""indicator"":""empe.s.un""}"
indicator.hours_worked.emp.s.hr;source_indicator;add;;;H_EMP;"{""indicator"":""hours_worked.emp.s.hr""}"
indicator.hours_worked.empe.s.hr;source_indicator;add;;;H_EMPE;"{""indicator"":""hours_worked.empe.s.hr""}"
indicator.compensation.empe_hs.r.pc;source_indicator;add;;;LABHS;"{""indicator"":""compensation.empe_hs.r.pc""}"
indicator.compensation.empe_ms.r.pc;source_indicator;add;;;LABMS;"{""indicator"":""compensation.empe_ms.r.pc""}"
indicator.compensation.empe_ls.r.pc;source_indicator;add;;;LABLS;"{""indicator"":""compensation.empe_ls.r.pc""}"
indicator.hours_worked.empe_hs.r.pc;source_indicator;add;;;H_HS;"{""indicator"":""hours_worked.empe_hs.r.pc""}"
indicator.hours_worked.empe_ms.r.pc;source_indicator;add;;;H_MS;"{""indicator"":""hours_worked.empe_ms.r.pc""}"
indicator.hours_worked.empe_ls.r.pc;source_indicator;add;;;H_LS;"{""indicator"":""hours_worked.empe_ls.r.pc""}"
indicator.exchange.r.us;indicator.exchange.r.us.wiod;add;;;;{}
indicator.compensation.empe.s.us;indicator.compensation.empe.s.us;add;;;;{}
indicator.compensation.emp.s.us;indicator.compensation.emp.s.us;add;;;;{}
indicator.capital_stock.s.us;indicator.capital_stock.s.us.wiodr13;add;;;;{}
indicator.gross_output.s.us;source_indicator;add;;;GO_USD;"{""indicator"":""gross_output.s.us""}"
indicator.gdp.s.us;source_indicator;add;;;VA_USD;"{""indicator"":""gdp.s.us""}"
indicator.surplus_value.empe_hs.r.pc;indicator.surplus_value.empe_hs.r.pc;add;;;;{}
indicator.surplus_value.empe_ms.r.pc;indicator.surplus_value.empe_ms.r.pc;add;;;;{}
indicator.surplus_value.empe_ls.r.pc;indicator.surplus_value.empe_ls.r.pc;add;;;;{}
indicator.compensation.emp.s.cu;indicator.compensation.emp.s.cu;add;;;;{}
indicator.compensation.empe.s.cu;indicator.compensation.empe.s.cu;add;;;;{}
indicator.profit.s.us;indicator.profit.s.us;add;;;;{}
indicator.basket_price.r.pc;indicator.basket_price.r.pc;add;;;;{}
indicator.exchange.r.id;indicator.exchange.r.id.wiod;add;;;;{}
indicator.basket_value.r.pc;indicator.basket_value.r.pc;add;;;;{}
indicator.go_price.r.id;source_indicator;add;;;GO_P;"{""indicator"":""go_price.r.id""}"
